Date,Block,Demand
01-09-2022,71,6868
01-09-2022,72,7050
01-09-2022,73,6842
01-09-2022,74,6911
01-09-2022,75,7248
01-09-2022,76,7523
01-09-2022,77,7458
01-09-2022,78,7484
01-09-2022,79,7431
01-09-2022,80,7347
01-09-2022,81,7336
01-09-2022,82,7247
01-09-2022,83,7159
01-09-2022,84,7043
01-09-2022,85,6990
01-09-2022,86,6718
01-09-2022,87,6653
01-09-2022,88,6489
01-09-2022,89,6325
01-09-2022,90,6423
01-09-2022,91,6214
01-09-2022,92,6105
01-09-2022,93,6064
01-09-2022,94,5935
01-09-2022,95,5851
01-09-2022,96,5795
01-09-2022,1,14913
01-09-2022,2,14940
01-09-2022,3,14788
01-09-2022,4,14801
01-09-2022,5,14726
01-09-2022,6,14729
01-09-2022,7,14718
01-09-2022,8,14657
01-09-2022,9,14572
01-09-2022,10,14443
01-09-2022,11,14391
01-09-2022,12,14365
01-09-2022,13,14303
01-09-2022,14,14239
01-09-2022,15,13515.25
01-09-2022,16,14207
01-09-2022,17,14142
01-09-2022,18,14186
01-09-2022,19,14196
01-09-2022,20,14244
01-09-2022,21,14379
01-09-2022,22,14576
01-09-2022,23,13799.6875
01-09-2022,24,14893
01-09-2022,25,14732
01-09-2022,26,15053
01-09-2022,27,15255
01-09-2022,28,15393
01-09-2022,29,15486
01-09-2022,30,14870.5
01-09-2022,31,15832
01-09-2022,32,15926
01-09-2022,33,15866
01-09-2022,34,16240
01-09-2022,35,16506
01-09-2022,36,16731
01-09-2022,37,16939
01-09-2022,38,17140
01-09-2022,39,17207
01-09-2022,40,17403
01-09-2022,41,17460
01-09-2022,42,17405
01-09-2022,43,17463
01-09-2022,44,17551
01-09-2022,45,17511
01-09-2022,46,17570
01-09-2022,47,17632
01-09-2022,48,17591
01-09-2022,49,17368
01-09-2022,50,17238
01-09-2022,51,17062
01-09-2022,52,16975
01-09-2022,53,16739
01-09-2022,54,15220.875
01-09-2022,55,16891
01-09-2022,56,17240
01-09-2022,57,17102
01-09-2022,58,17314
01-09-2022,59,17509
01-09-2022,60,17572
01-09-2022,61,17519
01-09-2022,62,17539
01-09-2022,63,17507
01-09-2022,64,17567
01-09-2022,65,17491
01-09-2022,66,16564.75
01-09-2022,67,17257
01-09-2022,68,17149
01-09-2022,69,17167
01-09-2022,70,17307
01-09-2022,71,17053
01-09-2022,72,16041.25
01-09-2022,73,16844
01-09-2022,74,16738
01-09-2022,75,16654
01-09-2022,76,15717
01-09-2022,77,16729
01-09-2022,78,16722
01-09-2022,79,16565
01-09-2022,80,16231
01-09-2022,81,15783
01-09-2022,82,15587
01-09-2022,83,15489
01-09-2022,84,15322
01-09-2022,85,14973
01-09-2022,86,15073
01-09-2022,87,15055
01-09-2022,88,15028
01-09-2022,89,15134
01-09-2022,90,15345
01-09-2022,91,15457
01-09-2022,92,15427
01-09-2022,93,15336
01-09-2022,94,15201
01-09-2022,95,15052
01-09-2022,96,14862
01-09-2022,1,9395
01-09-2022,2,9528
01-09-2022,3,9493
01-09-2022,4,9449
01-09-2022,5,9473
01-09-2022,6,9428
01-09-2022,7,9374
01-09-2022,8,9327
01-09-2022,9,9221
01-09-2022,10,9198
01-09-2022,11,9209
01-09-2022,12,9167
01-09-2022,13,9184
01-09-2022,14,9215
01-09-2022,15,9130
01-09-2022,16,9158
01-09-2022,17,9169
01-09-2022,18,9139
01-09-2022,19,9183
01-09-2022,20,9170
01-09-2022,21,9241
01-09-2022,22,9281
01-09-2022,23,8736.25
01-09-2022,24,9457
01-09-2022,25,9513
01-09-2022,26,9719
01-09-2022,27,9941
01-09-2022,28,9972
01-09-2022,29,9870
01-09-2022,30,9383.5
01-09-2022,31,9811
01-09-2022,32,9698
01-09-2022,33,9629
01-09-2022,34,9698
01-09-2022,35,9687
01-09-2022,36,9669
01-09-2022,37,9587
01-09-2022,38,9602
01-09-2022,39,9625
01-09-2022,40,9579
01-09-2022,41,9388
01-09-2022,42,9184.75
01-09-2022,43,9244
01-09-2022,44,9167
01-09-2022,45,9257
01-09-2022,46,9209
01-09-2022,47,8803.875
01-09-2022,48,8952
01-09-2022,49,8683
01-09-2022,50,8606
01-09-2022,51,8671
01-09-2022,52,8624
01-09-2022,53,8522
01-09-2022,54,8471.75
01-09-2022,55,8380
01-09-2022,56,8312
01-09-2022,57,8328
01-09-2022,58,8400
01-09-2022,59,8364
01-09-2022,60,8379
01-09-2022,61,8304
01-09-2022,62,8405
01-09-2022,63,8481.25
01-09-2022,64,8393
01-09-2022,65,8299
01-09-2022,66,8444
01-09-2022,67,8369
01-09-2022,68,8417
01-09-2022,69,8542
01-09-2022,70,8585
01-09-2022,71,8719
01-09-2022,72,8800
01-09-2022,73,8722
01-09-2022,74,8990
01-09-2022,75,9154
01-09-2022,76,9397.25
01-09-2022,77,9488
01-09-2022,78,9589
01-09-2022,79,9592
01-09-2022,80,9512
01-09-2022,81,9441
01-09-2022,82,9251
01-09-2022,83,9157
01-09-2022,84,9215
01-09-2022,85,9061
01-09-2022,86,8988
01-09-2022,87,9070
01-09-2022,88,9090
01-09-2022,89,8994
01-09-2022,90,9092
01-09-2022,91,9078
01-09-2022,92,9118
01-09-2022,93,9065
01-09-2022,94,8981
01-09-2022,95,8923
01-09-2022,96,8866
01-09-2022,1,5740.5
01-09-2022,2,5667.75
01-09-2022,3,5425
01-09-2022,4,5609.75
